collection_no,tectonic_setting
8054,rift
10975,foreland basin
11150,foreland basin
14339,cratonic basin
14344,cratonic basin
14350,cratonic basin
14356,cratonic basin
14357,cratonic basin
14361,cratonic basin
14362,cratonic basin
15000,foreland basin
23002,cratonic basin
23004,cratonic basin
23075,cratonic basin
23084,cratonic basin
23095,cratonic basin
23131,cratonic basin
23133,cratonic basin
23134,cratonic basin
23142,cratonic basin
23143,cratonic basin
23170,cratonic basin
23259,cratonic basin
23261,cratonic basin
23263,cratonic basin
23317,cratonic basin
24201,volcanic basin
27179,rift
28006,rift
31767,foreland basin
39077,cratonic basin
46146,passive margin
67711,passive margin
68475,volcanic basin
77192,rift
80283,passive margin
84460,passive margin
84472,rift
84606,rift
105962,rift
106379,volcanic basin
106380,volcanic basin
106381,volcanic basin
106382,volcanic basin
106383,volcanic basin
106384,volcanic basin
106385,volcanic basin
106386,intermontane basin
106431,rift
106453,volcanic basin
106481,intermontane basin
108779,intermontane basin
113004,foreland basin
125392,passive margin
125393,rift
127481,passive margin
156414,rift
